c:\Tapestry\runs\ANTENNAPATTERN    Vehicle 1 
 Seconds      Latitude     Longitude        Alt(m)      SoG(m/s) HDG(D)     RoC(m/s)
     96.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     97.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     98.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     99.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    100.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    101.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    102.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    103.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    104.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    105.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    106.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    107.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    108.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    109.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    110.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    111.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    112.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    113.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    114.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    115.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    116.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    117.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    118.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    119.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    120.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    121.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    122.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    123.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    124.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    125.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    126.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    127.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    128.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    129.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    130.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    131.00   34.00004045 -118.00000000        0.000      9.438    0.000      0.000 
    132.00   34.00017031 -118.00000000        0.000     19.372    0.000     -0.000 
    133.00   34.00038690 -118.00000000        0.000     26.822    0.000     -0.000 
    134.00   34.00062871 -118.00000000        0.000     26.822    0.000     -0.000 
    135.00   34.00087052 -118.00000000        0.000     26.822    0.000     -0.000 
    136.00   34.00111234 -118.00000000        0.000     26.822    0.000     -0.000 
    137.00   34.00135415 -118.00000000        0.000     26.822    0.000     -0.000 
    138.00   34.00159596 -118.00000000        0.000     26.822    0.000     -0.000 
    139.00   34.00183777 -118.00000000        0.000     26.822    0.000     -0.000 
    140.00   34.00207959 -118.00000000        0.000     26.822    0.000     -0.000 
    141.00   34.00232140 -118.00000000        0.000     26.822    0.000     -0.000 
    142.00   34.00256321 -118.00000000        0.000     26.822    0.000     -0.000 
    143.00   34.00280502 -118.00000000        0.000     26.822    0.000     -0.000 
    144.00   34.00304683 -118.00000000        0.000     26.822    0.000     -0.000 
    145.00   34.00328865 -118.00000000        0.000     26.822    0.000     -0.000 
    146.00   34.00353046 -118.00000000        0.000     26.822    0.000     -0.000 
    147.00   34.00377227 -118.00000000        0.000     26.822    0.000     -0.000 
    148.00   34.00401408 -118.00000000        0.000     26.822    0.000     -0.000 
    149.00   34.00425590 -118.00000000        0.000     26.822    0.000     -0.000 
    150.00   34.00449771 -118.00000000        0.000     26.822    0.000     -0.000 
    151.00   34.00473952 -118.00000000        0.000     26.822    0.000     -0.000 
    152.00   34.00498133 -118.00000000        0.000     26.822    0.000     -0.000 
    153.00   34.00522314 -118.00000000        0.000     26.822    0.000     -0.000 
    154.00   34.00546496 -118.00000000        0.000     26.822    0.000     -0.000 
    155.00   34.00570677 -118.00000000        0.000     26.822    0.000     -0.000 
    156.00   34.00594858 -118.00000000        0.000     26.822    0.000     -0.000 
    157.00   34.00619039 -118.00000000        0.000     26.822    0.000     -0.000 
    158.00   34.00643220 -118.00000000        0.000     26.822    0.000     -0.000 
    159.00   34.00667402 -118.00000000        0.000     26.822    0.000     -0.000 
    160.00   34.00691583 -118.00000000        0.000     26.822    0.000     -0.000 
    161.00   34.00715764 -118.00000000        0.000     26.822    0.000     -0.000 
    162.00   34.00739945 -118.00000000        0.000     26.822    0.000     -0.000 
    163.00   34.00764126 -118.00000000        0.000     26.822    0.000     -0.000 
    164.00   34.00788123 -117.99998779        0.000     26.822   31.765     -0.000 
    165.00   34.00778822 -117.99988598        0.000     26.822  243.529      0.000 
    166.00   34.00793387 -118.00005751        0.000     26.822  285.882      0.000 
    167.00   34.00780802 -118.00005751        0.000     26.822   74.118     -0.000 
